#options: 640x360 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=20 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:29.03 aq:12.74 tex:10649 mv:2163 misc:116 imb:920 pmb:0 smb:0 d:- ref:;
in:104 out:104 type:P dur:2 cpbdur:2 q:29.03 aq:20.50 tex:9334 mv:2682 misc:584 imb:139 pmb:160 smb:621 d:- ref:0 ;
in:105 out:105 type:P dur:2 cpbdur:2 q:29.03 aq:20.51 tex:9991 mv:2697 misc:544 imb:92 pmb:181 smb:647 d:- ref:0 ;
in:106 out:106 type:P dur:2 cpbdur:2 q:29.03 aq:23.59 tex:9730 mv:2950 misc:616 imb:115 pmb:193 smb:612 d:- ref:0 ;
in:107 out:107 type:P dur:2 cpbdur:2 q:29.03 aq:17.98 tex:24942 mv:4773 misc:205 imb:646 pmb:145 smb:129 d:- ref:0 ;
in:108 out:108 type:P dur:2 cpbdur:2 q:29.03 aq:19.77 tex:488 mv:197 misc:363 imb:8 pmb:23 smb:889 d:- ref:0 ;
in:110 out:109 type:P dur:2 cpbdur:2 q:29.03 aq:22.69 tex:14082 mv:3147 misc:547 imb:141 pmb:206 smb:573 d:- ref:0 ;
in:109 out:110 type:b dur:2 cpbdur:2 q:29.03 aq:24.03 tex:3536 mv:1740 misc:356 imb:24 pmb:118 smb:778 d:- ref:0 ;
in:112 out:111 type:P dur:2 cpbdur:2 q:29.03 aq:21.98 tex:19191 mv:3321 misc:552 imb:155 pmb:189 smb:576 d:- ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:29.03 aq:24.76 tex:5412 mv:2640 misc:452 imb:30 pmb:195 smb:695 d:- ref:0 ;
in:113 out:113 type:P dur:2 cpbdur:2 q:29.03 aq:20.62 tex:152 mv:41 misc:207 imb:1 pmb:5 smb:914 d:- ref:0 ;
in:114 out:114 type:P dur:2 cpbdur:2 q:29.03 aq:19.98 tex:22994 mv:5028 misc:226 imb:615 pmb:177 smb:128 d:- ref:0 ;
in:115 out:115 type:P dur:2 cpbdur:2 q:29.03 aq:20.72 tex:12077 mv:2907 misc:576 imb:128 pmb:227 smb:565 d:- ref:0 ;
